titulo,Tipo,precio,precio_original,descuento,ventas,link,ranking,plataforma,fecha_scraping,moneda,proveedor
XXL Men's Dress Formal Shirt with Stand Collar Long Sleeves Button Closure White Suit Style,Camisa,4.4,5,12,745,https://www.alibaba.com/product-detail/XXL-Men-s-Dress-Formal-Shirt_1601567655639.html,4,Alibaba,10/13/2025,$,Ningbo Bliss Imp. & Exp. Co.
2018 100%cotton Latest Wholesale Mens Dress Shirts,Camisa,5,6.849315068,27,301,https://www.alibaba.com/product-detail/2018-100-cotton-Latest-Wholesale-Mens_1885667698.html,5,Alibaba,10/13/2025,$,Ningbo Bingbing Imp. & Exp. Co.
Plaid Loose Fit Men Long Sleeve Business Casual Outdoor Plus Size Dress Shirt New Striped Men Dress Shirt,Camisa,12.65,16.42857143,23,722,https://www.alibaba.com/product-detail/Plaid-Loose-Fit-Men-Long-Sleeve_1601149723190.html,3,Alibaba,10/13/2025,$,Yangzhou Deniswear Apparel Co.
Men's Formal Dress Shirt Long Sleeve Solid Color Square Collar Shirt for Men High Elastic Breathable Plus Size Men's Shirt,Camisa,9.03,10.75,16,637,https://www.alibaba.com/product-detail/Men-s-Formal-Dress-Shirt-Long_1601419197479.html,2,Alibaba,10/13/2025,$,Yiwu Hongmao E-Commerce Co.
High Quality Slim Fit Men's Shirt Button up Long Sleeve White Cotton Casual Formal Dress Shirt,Camisa,6.5,7.558139535,14,479,https://www.alibaba.com/product-detail/High-Quality-Slim-Fit-Men-s_1600931688505.html,3,Alibaba,10/13/2025,$,Yiwu Hongyuan Garment Co.
Men's High Quality Slim Fit 100% Cotton Dress Shirt Single Breasted Stand Breathable Embroidered Formal Design Autumn Dot 140/2S,Camisa,25,38.46153846,35,578,https://www.alibaba.com/product-detail/Men-s-High-Quality-Slim-Fit_1601563292670.html,3,Alibaba,10/13/2025,$,Guangzhou Sanmian Garment Co.
Cotton Ready to Wear Non-iron Shirt Men's Solid Color Business Formal Wear Long-sleeved Wrinkle-resistant Professional Clothing,Camisa,15,19.73684211,24,851,https://www.alibaba.com/product-detail/Cotton-Ready-to-Wear-Non-iron_1601132624121.html,2,Alibaba,10/13/2025,$,Shanghai Xueyang Jinmian Industry Co.
Wholesale High Quality Bamboo Fiber Formal Uniform Office Shirt Men's Dress Dress Men's Shirt Business,Camisa,6.96,7.909090909,12,461,https://www.alibaba.com/product-detail/Wholesale-High-Quality-Bamboo-Fiber-Formal_1600847596503.html,1,Alibaba,10/13/2025,$,Luzhou Naxi Fuyi Garment Co.
High Quality 100% Cotton Twill Dress Shirt Wholesale Formal Satin Breathable Anti-Wrinkle Anti-Shrink Anti-Pilling for Autumn,Camisa,18.8,24.73684211,24,172,https://www.alibaba.com/product-detail/High-Quality-100-Cotton-Twill-Dress_1601468872444.html,2,Alibaba,10/13/2025,$,Guangzhou Friendship Housewares Commerce Limited
British Style Long Sleeve Shirt Men Clothing Fashion 2021 Autumn Business Formal Wear Chemise Homme Slim Fit Camisa Masculina,Camisa,8.67,12.04166667,28,501,https://www.alibaba.com/product-detail/British-Style-Long-Sleeve-Shirt-Men_1600424059773.html,5,Alibaba,10/13/2025,$,Quanzhou Minshan Import & Export Trading Co.
TOP SALE High Quality Dress Shirt for Men - Regular Fit Flannel Classic Collar Dress Shirt Export,Camisa,2.3,2.875,20,180,https://www.alibaba.com/product-detail/TOP-SALE-High-Quality-Dress-Shirt_10000014912968.html,3,Alibaba,10/13/2025,$,VIVA HOLDING INVESTMENT CONSULTING COMPANY LIMITED
TONGYANG 100% Cotton Men Long Sleeve Oxford Dress Shirt With Left Chest Pocket Male Casual Solid Button Down Shirts,Camisa,9.98,15.35384615,35,210,https://www.alibaba.com/product-detail/TONGYANG-100-Cotton-Men-Long-Sleeve_1601026444684.html,2,Alibaba,10/13/2025,$,Hunan Tongyang Garment Co.
Wholesale Plus Size Men Formal Cotton Oxford Shirt Long Sleeve Button Down Men's Dress Casual Shirts,Camisa,7.85,9.936708861,21,655,https://www.alibaba.com/product-detail/Wholesale-Plus-Size-Men-Formal-Cotton_1600278159911.html,5,Alibaba,10/13/2025,$,Yiwu Kuanyang International Trade Co.
Fashion Custom Men Tee Dress Shirts Casual Clothes Long Sleeve Printing Shirts For Mens,Camisa,6.3,8.289473684,24,939,https://www.alibaba.com/product-detail/Fashion-Custom-Men-Tee-Dress-Shirts_1600579137000.html,1,Alibaba,10/13/2025,$,Yiwu Yushu Clothing Co.
Business Shirt for Men Long Sleeve Formal Style OEM Logo Office Shirt,Camisa,7.2,12,40,975,https://www.alibaba.com/product-detail/Business-Shirt-for-Men-Long-Sleeve_1600539201991.html,5,Alibaba,10/13/2025,$,Qingdao Cheng Pin Tong Trading Co.
Popular Fashion Formal Colour Blocking Leisure Slim Long-sleeved Business Mens Dress Shirt,Camisa,11.5,18.5483871,38,763,https://www.alibaba.com/product-detail/Popular-Fashion-Formal-Colour-Blocking-Leisure_1600938534355.html,5,Alibaba,10/13/2025,$,Foshan Shunde Linghang Garment Co.
Wholesale Men's Long Sleeve Dress Shirts Business Shirt Solid Button Down Shirt,Camisa,6.4,8.888888889,28,378,https://www.alibaba.com/product-detail/Wholesale-Men-s-Long-Sleeve-Dress_1600440333473.html,3,Alibaba,10/13/2025,$,Bengbu Red Hat E-Commerce Co.
MAQVOB Men's Long-sleeved Dress Shirt High Stretch Luxury Branded Shirt Business Slim Fit Suit Business Working Office Shirt,Camisa,6.92,8.543209877,19,487,https://www.alibaba.com/product-detail/MAQVOB-Men-s-Long-sleeved-Dress_1600990313544.html,4,Alibaba,10/13/2025,$,Maqvob Apparel Group Ltd.
Wholesale Anti Wrinkles Dress Shirts Spandex Cotton Slim Fit Long Sleeves Shirts for Men,Camisa,14.99,18.06024096,17,644,https://www.alibaba.com/product-detail/Wholesale-Anti-Wrinkles-Dress-Shirts-Spandex_1601204968756.html,1,Alibaba,10/13/2025,$,Guangzhou Qiyang Clothing Co.
Men's Business Casual Button Down Dress Shirt Solid Long Sleeve Stretch Viscose Material Turn-Down Collar Sizes Available,Camisa,6.8,7.816091954,13,104,https://www.alibaba.com/product-detail/Men-s-Business-Casual-Button-Down_1601212952595.html,2,Alibaba,10/13/2025,$,Hubei Costa Import And Export Co.
Men's Colorblocking Double Collar Long Sleeve Stretch Business Casual Shirt Tops Blouse Sehe Fashion,Camisa,7.82,11.17142857,30,805,https://www.alibaba.com/product-detail/Men-s-Colorblocking-Double-Collar-Long_1601369137714.html,4,Alibaba,10/13/2025,$,Guangzhou Sehe Apparel Co.
ChenYue Men's Shirts Long-Sleeved Business Custom Solid Color Shirt Wholesale Classic Style Without Pocket TC Polyester Cotton,Camisa,4.98,5.533333333,10,903,https://www.alibaba.com/product-detail/ChenYue-Men-s-Shirts-Long-Sleeved_1601580432214.html,1,Alibaba,10/13/2025,$,Yiwu Chenyue Clothing Co.
Hot Sale Men's Shirt Dress Shirt Business Shirts for Men,Camisa,7,9.210526316,24,996,https://www.alibaba.com/product-detail/Hot-Sale-Men-s-Shirt-Dress_62426911729.html,5,Alibaba,10/13/2025,$,KZM TRADE DIS TICARET LIMITED SIRKETI
Men's Large Size Solid Color Bamboo Fiber Linen Cotton Dress Shirt Business Leisure Long Sleeve Work Shirt Breathable Feature,Camisa,13.2,20.95238095,37,881,https://www.alibaba.com/product-detail/Men-s-Large-Size-Solid-Color_1601286928213.html,5,Alibaba,10/13/2025,$,Shaoxing Yousheng Trade Co.
Men's Long-Sleeve Striped Dress Shirt Anti-Wrinkle White Square Collar Breathable Business Formal Style for Summer and Autumn,Camisa,5.72,6.5,12,911,https://www.alibaba.com/product-detail/Men-s-Long-Sleeve-Striped-Dress_1601517778401.html,5,Alibaba,10/13/2025,$,Yiwu Qiduo Clothing Co.
2025 Luxury Men's Dress Shirts Shinny Silk Satin Breathable Comfortable for Wedding Prom Tuxedo Casual Wear Spring Season,Camisa,7.5,10.56338028,29,448,https://www.alibaba.com/product-detail/2025-Luxury-Men-s-Dress-Shirts_1601394102856.html,2,Alibaba,10/13/2025,$,Number One Industrial Co.
Hot Sale Button Dress Shirts Long-sleeved Shirt Pocket Four Seasons Wear Men's All-match Stretch Anti-wrinkle Men's Shirt,Camisa,6,6.666666667,10,235,https://www.alibaba.com/product-detail/Hot-Sale-Button-Dress-Shirts-Long_1600899930867.html,2,Alibaba,10/13/2025,$,Guangzhou Mofei Clothing Co.
