product_id,titulo,precio,moneda,precio_original,ventas,moq,proveedor_verificado,proveedor_anios,proveedor_pais,rating_score,es_anuncio,is_p4p,rlt_rank,link,fecha_scraping,pagina,plataforma,producto_busqueda
,Oversized Embroidered Striped Shirt Womens Loose Fit Shacket Style for Autumn Spring Layering,8.99,$,,550,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/Oversized-Embroidered-Striped-Shirt-Womens-Loose_1601588258560.html,12/9/2025,1,Alibaba,CAMISA
,Women's Sleeveless T-Shirt Pure Color Simple Style Slanted Shoulder Slimming Look Short Top,6.99,$,,3633,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/Women-s-Sleeveless-T-Shirt-Pure_1601521738302.html,12/9/2025,1,Alibaba,CAMISA
,Custom Screen Print T-shirt Heavyweight 230gsm 100% Cotton Plain Dtg Print Heavyweight Men's T Shirt Oversized High Quality,4.8,$,,279,,TRUE,,,,FALSE,,,https://www.alibaba.com/product-detail/Custom-Screen-Print-T-shirt-Heavyweight_1601217192926.html,12/9/2025,1,Alibaba,CAMISA
,Wholesale Oversized Heavy 100% Pure Cotton 200 Gsm T Shirt Custom Without Print Fashion Casual Short Sleeve T-Shirts,3,$,,4917,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/Wholesale-Oversized-Heavy-100-Pure-Cotton_1601486438154.html,12/9/2025,1,Alibaba,CAMISA
,Custom Shirts Printed Summer Short Sleeve Casual Shirt with Smart Casual Style Breathable Logo Buttons Shirts,5.85,$,,1708,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/Custom-Shirts-Printed-Summer-Short-Sleeve_1601551730001.html,12/9/2025,1,Alibaba,CAMISA
,Wholesale Men's Cotton Linen Shirt Trendy Solid Color Long-Sleeved Plain T-Shirt for Casual & Business Wear Stand Collar,15.96,$,,3196,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/Wholesale-Men-s-Cotton-Linen-Shirt_1601466472488.html,12/9/2025,1,Alibaba,CAMISA
,Hot Selling Design Stretch Anti-wrinkle Long Sleeve Shirt Casual Plus Size Men's Shirts,6.66,$,,2654,,TRUE,,,,FALSE,,,https://www.alibaba.com/product-detail/Hot-Selling-Design-Stretch-Anti-wrinkle_1600697036837.html,12/9/2025,1,Alibaba,CAMISA
,Made in China 100% Cotton Men's Shirt Autumn Quick-drying Clothes New Men's Business Shirt Wholesale,1.96,$,,3085,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/Made-in-China-100-Cotton-Men_1601119523764.html,12/9/2025,1,Alibaba,CAMISA
,China Factory Supply High Grade Custom Printed Print Logo Fast dry Designs Pattern Shirt,10.88,$,,644,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/China-Factory-Supply-High-Grade-Custom_1601376301827.html,12/9/2025,1,Alibaba,CAMISA
,Clean-Fit High Quality Simple Minimalistic Design Casual Shirts ODM Supply,14,$,,2813,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/Clean-Fit-High-Quality-Simple-Minimalistic_1601443438354.html,12/9/2025,1,Alibaba,CAMISA
,High Quality Slim Fit Men's Shirt Button up Long Sleeve White Cotton Casual Formal Dress Shirt,6.5,$,,1162,,FALSE,,,,FALSE,,,https://www.alibaba.com/product-detail/High-Quality-Slim-Fit-Men-s_1600931688505.html,12/9/2025,1,Alibaba,CAMISA
